Target,Drug,NCT_ID,URL,Phase,Status,Outcome_type,Biomarker_category,Measure,Time_frame,Conditions,PD_neuro
DDC,Carbidopa,NCT02170376,https://clinicaltrials.gov/study/NCT02170376,Phase 1,Completed,primary,PK,AUC0-t - Area Under the Plasma Concentration Versus Time Curve From Time Zero to the Time (t) Corresponding to the Last Quantifiable Concentration.,"pre-first dose and at 0.5, 1.0, 1.5, 2.0",Parkinson's Disease (PD),Yes
DDC,Carbidopa,NCT02170376,https://clinicaltrials.gov/study/NCT02170376,Phase 1,Completed,primary,PK,AUC0-5 - AUC Over 5 Hours,"pre-first dose and at 0.5, 1.0, 1.5, 2.0",Parkinson's Disease (PD),Yes
DDC,Carbidopa,NCT02312232,https://clinicaltrials.gov/study/NCT02312232,Phase 1,Completed,primary,PK,Pharmacokinetics (Cmax) of levodopa,24 hours,Parkinson's Disease,Yes
DDC,Carbidopa,NCT02312232,https://clinicaltrials.gov/study/NCT02312232,Phase 1,Completed,secondary,PK,"Pharmacokinetics (Cmax) of carbidopa, 3-OMD and ODM-104",24 hours,Parkinson's Disease,Yes
DDC,Carbidopa,NCT02554734,https://clinicaltrials.gov/study/NCT02554734,Phase 1,Completed,primary,PK,"Levodopa Peak Plasma Concentration (Cmax) and fluctuation of levodopa Cmax/Cmin, tau",Blood samples collected frequently on da,Parkinson's Disease,Yes
DDC,Carbidopa,NCT02554734,https://clinicaltrials.gov/study/NCT02554734,Phase 1,Completed,secondary,PK,Carbidopa Peak Plasma Concentration (Cmax),Blood samples collected frequently on da,Parkinson's Disease,Yes
DDC,Carbidopa,NCT02554734,https://clinicaltrials.gov/study/NCT02554734,Phase 1,Completed,secondary,PK,3-OMD Peak Plasma Concentration (Cmax),Blood samples collected frequently on da,Parkinson's Disease,Yes
DDC,Carbidopa,NCT02554734,https://clinicaltrials.gov/study/NCT02554734,Phase 1,Completed,secondary,PK,"Levodopa Cmax, tau",Blood samples collected frequently on da,Parkinson's Disease,Yes
DDC,Carbidopa,NCT02554734,https://clinicaltrials.gov/study/NCT02554734,Phase 1,Completed,secondary,PK,Levodopa Area under the plasma concentration versus time curve (AUC),Blood samples collected frequently on da,Parkinson's Disease,Yes
DDC,Carbidopa,NCT02554734,https://clinicaltrials.gov/study/NCT02554734,Phase 1,Completed,secondary,PK,Carbidopa Area under the plasma concentration versus time curve (AUC),Blood samples collected frequently on da,Parkinson's Disease,Yes
DDC,Carbidopa,NCT02554734,https://clinicaltrials.gov/study/NCT02554734,Phase 1,Completed,secondary,PK,3-OMD Area under the plasma concentration versus time curve (AUC),Blood samples collected frequently on da,Parkinson's Disease,Yes
DDC,Carbidopa,NCT02554734,https://clinicaltrials.gov/study/NCT02554734,Phase 1,Completed,secondary,PK,Levodopa Peak-trough fluctuation (PTF),Blood samples collected frequently on da,Parkinson's Disease,Yes
DDC,Carbidopa,NCT02633007,https://clinicaltrials.gov/study/NCT02633007,Phase 1,Completed,secondary,PK,Maximum observed plasma drug concentration (Cmax),within 30 min prior to first CVT-301 dos,Asthma,No
DDC,Carbidopa,NCT02633007,https://clinicaltrials.gov/study/NCT02633007,Phase 1,Completed,secondary,PK,Area under the concentration time curve over the dosing interval (AUC0-last),within 30 min prior to first CVT-301 dos,Asthma,No
DDC,Carbidopa,NCT02633839,https://clinicaltrials.gov/study/NCT02633839,Phase 1,Completed,primary,PK,Maximum observed plasma drug concentration (Cmax),within 30 min prior to CVT-301 dose admi,Smoking,No
DDC,Carbidopa,NCT02633839,https://clinicaltrials.gov/study/NCT02633839,Phase 1,Completed,primary,PK,Area under the plasma concentration versus time curve (AUC),within 30 min prior to CVT-301 dose admi,Smoking,No
DDC,Carbidopa,NCT03055936,https://clinicaltrials.gov/study/NCT03055936,Phase 1,Completed,primary,PK,Levodopa Area Under the Concentration-time Curve From Time 0 to the 24 h PK Sample (AUC0-24) Time 0 to the 24 h PK Sample (AUC0-24),During 24 hours,Healthy Volunteers,No
DDC,Carbidopa,NCT03055936,https://clinicaltrials.gov/study/NCT03055936,Phase 1,Completed,secondary,PK,"Fluctuation of Levodopa Cmax/Cmin, Tau",16 hours,Healthy Volunteers,No
DDC,Carbidopa,NCT03055936,https://clinicaltrials.gov/study/NCT03055936,Phase 1,Completed,secondary,PK,Levodopa Peak Plasma Concentration (Cmax),24 hours,Healthy Volunteers,No
DDC,Carbidopa,NCT03140956,https://clinicaltrials.gov/study/NCT03140956,Phase 1,Completed,primary,PK,Pharmacokinetics (Cmax) of levodopa,24 hours,Parkinson Disease,Yes
DDC,Carbidopa,NCT03496870,https://clinicaltrials.gov/study/NCT03496870,Phase 1,Completed,primary,PK,Pharmacokinetic evaluation of opicapone and its metabolites: area under the curve (AUC 0-24),up to 19 days,Parkinson Disease,Yes
DDC,Carbidopa,NCT03496870,https://clinicaltrials.gov/study/NCT03496870,Phase 1,Completed,primary,PK,Pharmacokinetic evaluation of opicapone and its metabolites: area under the curve (AUC 0-tlast),up to 19 days,Parkinson Disease,Yes
DDC,Carbidopa,NCT03496870,https://clinicaltrials.gov/study/NCT03496870,Phase 1,Completed,primary,PK,Pharmacokinetic evaluation of opicapone and its metabolites: Maximum plasma concentration (Cmax),up to 19 days,Parkinson Disease,Yes
DDC,Carbidopa,NCT03496870,https://clinicaltrials.gov/study/NCT03496870,Phase 1,Completed,primary,PK,Pharmacokinetic evaluation of opicapone and its metabolites: Time to maximum plasma concentration (tmax),up to 19 days,Parkinson Disease,Yes
DDC,Carbidopa,NCT03496870,https://clinicaltrials.gov/study/NCT03496870,Phase 1,Completed,primary,PK,Pharmacokinetic evaluation of levodopa following administration of opicapone: area under the curve (AUC 0-tlast),up to 15 days,Parkinson Disease,Yes
DDC,Carbidopa,NCT03496870,https://clinicaltrials.gov/study/NCT03496870,Phase 1,Completed,primary,PK,Pharmacokinetic evaluation of levodopa following administration of opicapone: maximum plasma concentration (cmax),up to 15 days,Parkinson Disease,Yes
DDC,Carbidopa,NCT03541356,https://clinicaltrials.gov/study/NCT03541356,Phase 2,Completed,secondary,PK,AUC0-2hr for L-dopa,"For L-dopa 35 mg, 70 mg, 140 mg plasma s",Parkinson's Disease,Yes
DDC,Carbidopa,NCT03541356,https://clinicaltrials.gov/study/NCT03541356,Phase 2,Completed,secondary,PK,Cmax of L-dopa,"For L-dopa 35 mg, 70 mg, 140 mg plasma s",Parkinson's Disease,Yes
DDC,Carbidopa,NCT03541356,https://clinicaltrials.gov/study/NCT03541356,Phase 2,Completed,secondary,PK,Area Under the Curve (AUC) of Change From Baseline in MDS-UPDRS Part III Scores,"For L-dopa 35 mg, 70 mg, 140 mg, assessm",Parkinson's Disease,Yes
DDC,Carbidopa,NCT03541356,https://clinicaltrials.gov/study/NCT03541356,Phase 2,Completed,secondary,PK,AUC0-2h for Carbidopa,"Plasma samples were taken at pre-dose, 5",Parkinson's Disease,Yes
DDC,Carbidopa,NCT03541356,https://clinicaltrials.gov/study/NCT03541356,Phase 2,Completed,secondary,PK,Cmax of Carbidopa,"For L-dopa 70 mg/carbidopa 7 mg, plasma",Parkinson's Disease,Yes
DDC,Carbidopa,NCT03761004,https://clinicaltrials.gov/study/NCT03761004,Phase 1,Completed,primary,PK,Cmax,pre-dose（baseline）and specified time poi,Healthy Volunteers,No
DDC,Carbidopa,NCT03761004,https://clinicaltrials.gov/study/NCT03761004,Phase 1,Completed,primary,PK,AUC0-t,pre-dose（baseline）and specified time poi,Healthy Volunteers,No
DDC,Carbidopa,NCT03761004,https://clinicaltrials.gov/study/NCT03761004,Phase 1,Completed,primary,PK,AUC0-inf,pre-dose（baseline）and specified time poi,Healthy Volunteers,No
